category,category_url
Mẹ & Bé,https://shopee.vn/M%E1%BA%B9-B%C3%A9-cat.11036194
Điện Thoại & Phụ Kiện,https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Ph%E1%BB%A5-Ki%E1%BB%87n-cat.11036030
Máy Tính & Laptop,https://shopee.vn/M%C3%A1y-T%C3%ADnh-Laptop-cat.11035954
Đồ Chơi,https://shopee.vn/%C4%90%E1%BB%93-Ch%C6%A1i-cat.11036932
Máy Ảnh & Máy Quay Phim,https://shopee.vn/M%C3%A1y-%E1%BA%A2nh-M%C3%A1y-Quay-Phim-cat.11036101
Sức Khỏe,https://shopee.vn/S%E1%BB%A9c-Kh%E1%BB%8Fe-cat.11036345
Nhà Cửa & Đời Sống,https://shopee.vn/Nh%C3%A0-C%E1%BB%ADa-%C4%90%E1%BB%9Di-S%E1%BB%91ng-cat.11036670
Giày Dép Nữ,https://shopee.vn/Gi%C3%A0y-D%C3%A9p-N%E1%BB%AF-cat.11035825
Dụng cụ và thiết bị tiện ích,https://shopee.vn/D%E1%BB%A5ng-c%E1%BB%A5-v%C3%A0-thi%E1%BA%BFt-b%E1%BB%8B-ti%E1%BB%87n-%C3%ADch-cat.11116484
Chăm Sóc Thú Cưng,https://shopee.vn/Ch%C4%83m-S%C3%B3c-Th%C3%BA-C%C6%B0ng-cat.11036478
Thời Trang Nữ,https://shopee.vn/Th%E1%BB%9Di-Trang-N%E1%BB%AF-cat.11035639
Thiết Bị Điện Tử,https://shopee.vn/Thi%E1%BA%BFt-B%E1%BB%8B-%C4%90i%E1%BB%87n-T%E1%BB%AD-cat.11036132
Ô Tô & Xe Máy & Xe Đạp,https://shopee.vn/%C3%94-T%C3%B4-Xe-M%C3%A1y-Xe-%C4%90%E1%BA%A1p-cat.11036793
Nhà Sách Online,https://shopee.vn/Nh%C3%A0-S%C3%A1ch-Online-cat.11036863
Giày Dép Nam,https://shopee.vn/Gi%C3%A0y-D%C3%A9p-Nam-cat.11035801
Bách Hóa Online,https://shopee.vn/B%C3%A1ch-H%C3%B3a-Online-cat.11036525
Balo & Túi Ví Nam,https://shopee.vn/Balo-T%C3%BAi-V%C3%AD-Nam-cat.11035741
Sắc Đẹp,https://shopee.vn/S%E1%BA%AFc-%C4%90%E1%BA%B9p-cat.11036279
Giặt Giũ & Chăm Sóc Nhà Cửa,https://shopee.vn/Gi%E1%BA%B7t-Gi%C5%A9-Ch%C4%83m-S%C3%B3c-Nh%C3%A0-C%E1%BB%ADa-cat.11036624
Thể Thao & Du Lịch,https://shopee.vn/Th%E1%BB%83-Thao-Du-L%E1%BB%8Bch-cat.11035478
Voucher & Dịch Vụ,https://shopee.vn/Voucher-D%E1%BB%8Bch-V%E1%BB%A5-cat.11035898
Túi Ví Nữ,https://shopee.vn/T%C3%BAi-V%C3%AD-N%E1%BB%AF-cat.11035761
Phụ Kiện & Trang Sức Nữ,https://shopee.vn/Ph%E1%BB%A5-Ki%E1%BB%87n-Trang-S%E1%BB%A9c-N%E1%BB%AF-cat.11035853
Đồng Hồ,https://shopee.vn/%C4%90%E1%BB%93ng-H%E1%BB%93-cat.11035788
Thời Trang Nam,https://shopee.vn/Th%E1%BB%9Di-Trang-Nam-cat.11035567
Thời Trang Trẻ Em,https://shopee.vn/Th%E1%BB%9Di-Trang-Tr%E1%BA%BB-Em-cat.11036382
Thiết Bị Điện Gia Dụng,https://shopee.vn/Thi%E1%BA%BFt-B%E1%BB%8B-%C4%90i%E1%BB%87n-Gia-D%E1%BB%A5ng-cat.11036971
